sep=;
"SCHEDULE";"GROUP";"LINE";"BLACKOUT";"NEXUS";"BARGE";"OFFSITE";"COMMENT";"DAY_001";"DAY_002";"DAY_003";"DAY_004";"DAY_005";"DAY_006";"DAY_007";"DAY_008";"DAY_009";"DAY_010";"DAY_011";"DAY_012";"DAY_013";"DAY_014";"DAY_015";"DAY_016";"DAY_017";"DAY_018";"DAY_019";"DAY_020";"DAY_021";"DAY_022";"DAY_023";"DAY_024";"DAY_025";"DAY_026";"DAY_027";"DAY_028";"DAY_029";"DAY_030";"DAY_031";"DAY_032";"DAY_033";"DAY_034";"DAY_035";"DAY_036";"DAY_037";"DAY_038";"DAY_039";"DAY_040";"DAY_041";"DAY_042";"DAY_043";"DAY_044";"DAY_045";"DAY_046";"DAY_047";"DAY_048";"DAY_049";"DAY_050";"DAY_051";"DAY_052";"DAY_053";"DAY_054";"DAY_055";"DAY_056"
"Import Errors";"OIDP";"1";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"----";"13AZ";"13AZ"
"Import Errors";"OIDP";"2";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"----";"13AZ";"13AZ"
"Import Errors";"OIDP";"3";"1";"";"";"";"Unknown schedule: Begin March 01, 2022";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"----";"13AZ";"13AZ"
"Import Errors";"OIDP";"4";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"06BM";"06BM";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"06BM";"06BM"
"Import Errors";"OIDP";"5";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"06BM";"06BM";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"06BM";"06BM"
"Import Errors";"OIDP";"6";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"12CN";"12CN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"12CN";"12CN"
"Import Errors";"OIDP";"7";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"12CN";"12CN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"12CN";"12CN"
"Import Errors";"OIDP";"8";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"13AZ"
"Import Errors";"OIDP";"9";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"13AZ"
"Import Errors";"OIDP";"10";"1";"";"";"";"Unknown schedule: Begin March 01, 2022";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"13AZ"
"Import Errors";"OIDP";"11";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----"
"Import Errors";"OIDP";"12";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----"
"Import Errors";"OIDP";"13";"";"";"";"";"Unknown schedule: Begin March 01, 2022";"----";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"----";"----";"----";"----";"06BM";"06BM";"06BM";"06BM";"----";"----";"----";"12CN";"12CN";"12CN";"12CN";"----";"----";"----";"----";"13AZ";"13AZ";"13AZ";"13AZ";"13AZ";"----";"----";"----";"20AU";"20AU";"20AU";"20AU";"20AU";"----";"----"
